LowerCaseToken	Frequency
dinosaurs	2911
daredevil	460
kevin	22613
oysters	3057
showman	401
thug	1094
doorman	883
craftsman	1158
quarterback	13920
arsonist	161
divorcee	224
defrauded	250
hippies	795
coroner	1920
jill	6651
josh	10100
firefighter	2103
cartoonist	874
punched	3494
firemen	1086
swimmer	1566
biker	960
milkman	245
bartender	3365
passer-by	73
office-worker	5
medic	995
scrounging	166
lifesaver	289
locksmith	205
trash-can	36
fianc&eacute;	12
couldn't	27
