Noun	Region	Condition	Script	ID	predictability_weight	deletion_rate	autoencoder	lm	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted
37	certainty	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	12.07	12.056	100	99
38	certainty	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.16	10.133	99.81	98.81
39	certainty	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.844	10.789	98.048	97.262
40	certainty	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.38	9.313	98.738	98.167
41	claim	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.531	11.547	99.833	98.833
42	claim	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.591	9.554	100	99.024
43	claim	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.676	10.644	98.095	97.31
44	claim	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.146	9.051	99.143	98.31
45	complaint	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.931	10.926	100	99
46	complaint	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	8.768	8.751	100	99
47	complaint	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.652	10.616	98.119	97.333
48	complaint	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	8.987	8.911	97.69	97.048
49	concern	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.808	11.745	100	99.024
50	concern	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.32	10.205	100	99
51	concern	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.825	10.743	98.571	97.857
52	concern	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.332	9.215	98.262	97.476
53	conclusion	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.287	11.286	99.857	98.81
54	conclusion	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.667	9.655	100	99.024
55	conclusion	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.506	10.485	96.786	95.786
56	conclusion	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.076	9.034	98.143	97.048
57	confirmation	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.894	11.887	100	99
58	confirmation	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.936	9.91	100	99.024
59	confirmation	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.023	10.951	98.333	97.857
60	confirmation	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.577	9.532	97.357	96.881
61	conjecture	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.615	11.629	100	99
62	conjecture	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.058	10.06	99.81	98.81
63	conjecture	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.607	10.604	97.571	96.881
64	conjecture	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.198	9.145	97.81	97.167
65	contention	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	12.001	12.062	99.857	98.81
66	contention	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.371	10.406	100	99
67	contention	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.77	10.74	98.595	97.619
68	contention	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.306	9.255	98.452	97.571
69	conviction	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.457	11.452	100	99
70	conviction	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.552	9.521	100	99.024
71	conviction	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.796	10.759	96.214	95.333
72	conviction	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.201	9.147	97.81	97.071
