"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"compatible.C:ItemCritical_1"	-2.122	0.113	-18.728	0
"compatible.C:ItemCritical_10"	0.262	0.113	2.313	0.021
"compatible.C:ItemCritical_11"	0.181	0.113	1.6	0.11
"compatible.C:ItemCritical_12"	-0.931	0.113	-8.212	0
"compatible.C:ItemCritical_13"	0.654	0.113	5.77	0
"compatible.C:ItemCritical_14"	1.184	0.113	10.448	0
"compatible.C:ItemCritical_15"	1.649	0.113	14.55	0
"compatible.C:ItemCritical_16"	0.047	0.113	0.416	0.677
"compatible.C:ItemCritical_17"	0.728	0.113	6.425	0
"compatible.C:ItemCritical_18"	0.378	0.113	3.332	0.001
"compatible.C:ItemCritical_19"	-1.33	0.113	-11.737	0
"compatible.C:ItemCritical_2"	0.58	0.113	5.117	0
"compatible.C:ItemCritical_20"	0.533	0.113	4.701	0
"compatible.C:ItemCritical_21"	-0.303	0.113	-2.673	0.008
"compatible.C:ItemCritical_22"	-0.398	0.113	-3.512	0
"compatible.C:ItemCritical_23"	0.719	0.113	6.345	0
"compatible.C:ItemCritical_24"	-0.164	0.113	-1.447	0.148
"compatible.C:ItemCritical_25"	1.085	0.113	9.573	0
"compatible.C:ItemCritical_26"	-1.951	0.113	-17.22	0
"compatible.C:ItemCritical_27"	-2.797	0.113	-24.677	0
"compatible.C:ItemCritical_28"	0.311	0.113	2.748	0.006
"compatible.C:ItemCritical_29"	1.692	0.113	14.93	0
"compatible.C:ItemCritical_3"	1.251	0.113	11.038	0
"compatible.C:ItemCritical_30"	1.151	0.113	10.154	0
"compatible.C:ItemCritical_31"	-1.23	0.113	-10.854	0
"compatible.C:ItemCritical_32"	-0.146	0.113	-1.286	0.198
"compatible.C:ItemCritical_33"	0.466	0.113	4.111	0
"compatible.C:ItemCritical_34"	0.711	0.113	6.277	0
"compatible.C:ItemCritical_35"	-1.358	0.113	-11.979	0
"compatible.C:ItemCritical_36"	-0.918	0.113	-8.097	0
"compatible.C:ItemCritical_4"	-0.436	0.113	-3.846	0
"compatible.C:ItemCritical_5"	0.293	0.113	2.588	0.01
