"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"RC.C:Item238_Critical_Vadv2"	-0.59	0.15	-3.936	0
"RC.C:Item238_Critical_Vadv3"	-0.447	0.15	-2.978	0.003
"RC.C:Item238_Critical_Vadv5"	-0.124	0.15	-0.827	0.408
"RC.C:Item238_Critical_Vadv6"	-0.995	0.15	-6.632	0
"RC.C:Item238_Critical_Vadv7"	-0.499	0.15	-3.325	0.001
"RC.C:Item238_Critical_Vadv8"	-0.359	0.15	-2.391	0.017
"RC.C:Item238_Critical_Vadv9"	-0.951	0.15	-6.339	0
"RC.C:Item238_Critical_VN1"	-1.403	0.15	-9.355	0
"RC.C:Item238_Critical_VN2"	-1.131	0.15	-7.543	0
"RC.C:Item238_Critical_VN3"	0.343	0.15	2.286	0.022
"RC.C:Item238_Critical_VN5"	-1.036	0.15	-6.903	0
"RC.C:ItemCritical_6"	-1.07	0.15	-7.131	0
"compatible.C:ItemMixed_11"	0.788	0.15	5.251	0
"compatible.C:ItemMixed_12"	0.287	0.15	1.911	0.056
"compatible.C:ItemMixed_13"	0.886	0.15	5.903	0
"compatible.C:ItemMixed_14"	-2.733	0.15	-18.222	0
"compatible.C:ItemMixed_15"	-1.893	0.15	-12.617	0
"compatible.C:ItemMixed_16"	1.52	0.15	10.135	0
"compatible.C:ItemMixed_17"	0.628	0.15	4.184	0
"compatible.C:ItemMixed_18"	-0.924	0.15	-6.158	0
"compatible.C:ItemMixed_19"	-1.778	0.15	-11.855	0
"compatible.C:ItemMixed_2"	0.95	0.15	6.332	0
"compatible.C:ItemMixed_21"	0.206	0.15	1.375	0.169
"compatible.C:ItemMixed_22"	-1.152	0.15	-7.679	0
"compatible.C:ItemMixed_23"	0.365	0.15	2.434	0.015
"compatible.C:ItemMixed_24"	0.28	0.15	1.868	0.062
"compatible.C:ItemMixed_25"	0.245	0.15	1.636	0.102
"compatible.C:ItemMixed_26"	0.635	0.15	4.235	0
"compatible.C:ItemMixed_27"	-0.505	0.15	-3.367	0.001
"compatible.C:ItemMixed_28"	-1.495	0.15	-9.969	0
"compatible.C:ItemMixed_29"	0.507	0.15	3.379	0.001
"compatible.C:ItemMixed_3"	0.461	0.15	3.071	0.002
"compatible.C:ItemMixed_30"	-0.281	0.15	-1.87	0.061
"compatible.C:ItemMixed_31"	1.479	0.15	9.859	0
