"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"ItemCritical_9:EmbBias.C"	0.01	0.077	0.131	0.896
"ItemMixed_1:EmbBias.C"	0.093	0.077	1.216	0.224
"ItemMixed_11:EmbBias.C"	0.098	0.077	1.279	0.201
"ItemMixed_12:EmbBias.C"	0.155	0.077	2.027	0.043
"ItemMixed_13:EmbBias.C"	-0.128	0.077	-1.67	0.095
"ItemMixed_14:EmbBias.C"	0.073	0.077	0.95	0.342
"ItemMixed_15:EmbBias.C"	0.05	0.077	0.648	0.517
"ItemMixed_16:EmbBias.C"	-0.179	0.077	-2.341	0.019
"ItemMixed_17:EmbBias.C"	0.062	0.077	0.804	0.421
"ItemMixed_18:EmbBias.C"	0.019	0.077	0.252	0.801
"ItemMixed_19:EmbBias.C"	-0.063	0.077	-0.821	0.412
"ItemMixed_2:EmbBias.C"	0.117	0.077	1.526	0.127
"ItemMixed_21:EmbBias.C"	0.134	0.077	1.747	0.081
"ItemMixed_22:EmbBias.C"	-0.014	0.077	-0.178	0.859
"ItemMixed_23:EmbBias.C"	0.131	0.077	1.712	0.087
"ItemMixed_24:EmbBias.C"	0.212	0.077	2.761	0.006
"ItemMixed_25:EmbBias.C"	-0.094	0.077	-1.225	0.221
"ItemMixed_26:EmbBias.C"	0.105	0.077	1.369	0.171
"ItemMixed_27:EmbBias.C"	0.385	0.077	5.02	0
"ItemMixed_28:EmbBias.C"	0.147	0.077	1.913	0.056
"ItemMixed_29:EmbBias.C"	0.044	0.077	0.578	0.563
"ItemMixed_3:EmbBias.C"	-0.002	0.077	-0.028	0.978
"ItemMixed_30:EmbBias.C"	0.2	0.077	2.61	0.009
"ItemMixed_31:EmbBias.C"	0.099	0.077	1.288	0.198
"ItemMixed_32:EmbBias.C"	0.189	0.077	2.46	0.014
"ItemMixed_33:EmbBias.C"	0.023	0.077	0.302	0.763
"ItemMixed_34:EmbBias.C"	-0.003	0.077	-0.043	0.966
