"deletion_rate"	"predictability_weight"	"condition"	"noun"	"Condition"	"HasRC"	"HasSC"	"compatible"	"EmbeddingBias"	"SurprisalReweighted"	"LogRT"	"rt"
"146"	0.05	1	"critical_SCRC_incompatible"	"statement"	"SCRC_in"	TRUE	TRUE	FALSE	-2.13490985171733	7.68725	7.64883434615987	2338.75
"147"	0.05	1	"critical_SCRC_incompatible"	"story"	"SCRC_in"	TRUE	TRUE	FALSE	-4.49253905469054	6.2164	7.10572630275596	1368.86666666667
"148"	0.05	1	"critical_SCRC_incompatible"	"suggestion"	"SCRC_in"	TRUE	TRUE	FALSE	-1.69397575795232	5.78135714285714	7.0194616591284	1257.71428571429
"149"	0.05	1	"critical_SCRC_incompatible"	"suspicion"	"SCRC_in"	TRUE	TRUE	FALSE	-1.44675780959405	4.35411111111111	6.86270627042838	1001.66666666667
"150"	0.05	1	"critical_SCRC_incompatible"	"truth"	"SCRC_in"	TRUE	TRUE	FALSE	-4.02569212914745	6.69280769230769	6.96295263517507	1128.69230769231
"151"	0.5	1	"critical_compatible"	"admission"	"SC_co"	FALSE	TRUE	TRUE	-4.47385855010188	6.95570909090909	6.91220311653475	1168.2
"152"	0.5	1	"critical_compatible"	"announcement"	"SC_co"	FALSE	TRUE	TRUE	-2.29349828960863	7.067728125	6.84859800040961	1003.1875
"153"	0.5	1	"critical_compatible"	"assertion"	"SC_co"	FALSE	TRUE	TRUE	-0.769280360774168	6.88647631072631	6.80347904279586	982.944444444444
"154"	0.5	1	"critical_compatible"	"assessment"	"SC_co"	FALSE	TRUE	TRUE	-3.82079821902807	7.37566666666667	6.84313714365056	962.555555555556
"155"	0.5	1	"critical_compatible"	"assumption"	"SC_co"	FALSE	TRUE	TRUE	-0.576562057256959	5.80876190476191	6.86895508819196	1002
"156"	0.5	1	"critical_compatible"	"assurance"	"SC_co"	FALSE	TRUE	TRUE	-1.07983917416018	8.56135909090909	6.99266394632723	1220
"157"	0.5	1	"critical_compatible"	"belief"	"SC_co"	FALSE	TRUE	TRUE	-0.455950591043695	7.88801020408163	6.86609839648469	997.857142857143
"158"	0.5	1	"critical_compatible"	"complaint"	"SC_co"	FALSE	TRUE	TRUE	-3.95780800629851	7.2272253968254	6.99676616084413	1273.66666666667
"159"	0.5	1	"critical_compatible"	"conclusion"	"SC_co"	FALSE	TRUE	TRUE	-1.7311988703202	6.03951851851852	6.85027522051166	1070.77777777778
"160"	0.5	1	"critical_compatible"	"confirmation"	"SC_co"	FALSE	TRUE	TRUE	-3.3360930439149	7.320615	6.9513868195523	1081.8
"161"	0.5	1	"critical_compatible"	"contention"	"SC_co"	FALSE	TRUE	TRUE	-0.650587566141149	8.27978835978836	7.0277529944385	1182.33333333333
"162"	0.5	1	"critical_compatible"	"declaration"	"SC_co"	FALSE	TRUE	TRUE	-3.80214343753486	6.75847619047619	6.85248709319205	976
"163"	0.5	1	"critical_compatible"	"disclosure"	"SC_co"	FALSE	TRUE	TRUE	-3.4852804988727	8.3852	6.98950299585523	1151.70588235294
"164"	0.5	1	"critical_compatible"	"fact"	"SC_co"	FALSE	TRUE	TRUE	-0.372301529788876	7.22264069264069	6.8894798274921	1040.71428571429
"165"	0.5	1	"critical_compatible"	"impression"	"SC_co"	FALSE	TRUE	TRUE	-0.787062301582269	6.30004761904762	7.03927660783474	1203.21428571429
"166"	0.5	1	"critical_compatible"	"intuition"	"SC_co"	FALSE	TRUE	TRUE	-1.36636014621907	6.93354920634921	6.92063299198261	1072
"167"	0.5	1	"critical_compatible"	"message"	"SC_co"	FALSE	TRUE	TRUE	-2.63823425350908	7.37907954545455	7.03574604097804	1239.16666666667
