ID	deletion_rate	predictability_weight	AICRaw	AIC	AICFull	N	None
152	241138234	0.2	1	5291.848	5295.886	4678.031	5332	
153	679397638	0.15	0.5	5303.604	5304.108	4679.775	5332	
154	234526961	0.45	1	4873.479	4881.995	4662.178	5332	
155	251061272	0.8	1	5392.747	5351.045	4686.419	5332	
156	367891531	0.45	0.75	4953.562	4969.059	4638.721	5302	
157	620414278	0.45	1	5189.303	5205.586	4685.264	5332	
158	250965043	0.55	1	4605.767	4588.869	3997.423	4495	
159	300678374	0.05	0.25	5305.539	5305.53	4679.721	5332	
160	751961024	0.5	1	5212.708	5227.026	4688.607	5332	
161	530758484	0.85	1	2448.278	2411.217	2174.28	2354	
162	870373973	0.45	0.5	5093.003	5105.992	4575.725	5211	
163	481321001	0.4	0	5295.817	5300.78	4673.021	5332	
164	957255220	0.85	0.5	5365.328	5338.09	4692.146	5332	
165	262462349	0.65	1	4988.774	5001.386	4682.383	5332	
166	306477319	0.65	1	4740.773	4755.462	4506.064	5078	
167	873268452	0.3	0.75	4855.133	4871.997	4396.144	4956	
168	622432993	0.45	1	4844.501	4861.431	4369.117	4986	
169	87291875	0.55	1	1126.837	1142.974	1155.371	1219	
170	679881827	0.25	1	4579.103	4595.388	4268.564	4861	
171	458226408	0.5	1	5087.706	5102.196	4674.343	5332	
172	502405978	0.6	1	4837.175	4848.784	4674.464	5332	
173	52856300	0.7	0.75	5017.705	5034.132	4694.736	5332	
174	960104424	0.15	0.75	5299.755	5301.601	4679.608	5332	
175	302422512	0.9	0.5	4719.48	4680.333	4147.532	4572	
176	595540198	0.6	0.75	4986.028	5003.148	4674.718	5324	
177	756291678	0.7	1	5155.765	5170.877	4692.747	5332	
178	808608984	0.85	0.75	5061.637	5049.511	4453.989	5028	
179	864307211	0.55	1	4840.315	4846.781	4657.124	5332	
180	238101445	0.35	0.5	5293.463	5297.553	4681.724	5332	
181	483767351	0.55	1	4880.787	4894.236	4675.482	5332	
182	275819516	0.45	1	5082.285	5093.574	4521.407	5142	
183	377075835	0.7	0.5	5130.831	5142.258	4616.609	5255	
184	377781829	0.7	1	4976.053	4991.939	4693.682	5332	
185	752079033	0.55	0.25	5168.055	5181.846	4667.511	5332	
186	799174627	0.4	1	5205.28	5221.539	4679.943	5332	
187	292546825	0.4	1	4248.899	4261.738	4104.795	4613	
188	471677347	0.1	1	5260.466	5270.586	4676.453	5332	
189	309815645	0.2	0	5304.282	5304.69	4679.63	5332	
190	917936489	0.8	0.25	5303.74	5297.017	4688.932	5332	
191	219452557	0.5	1	4954.809	4967.088	4678.313	5332	
192	686978960	0.6	0.75	4974.471	4989.406	4548.216	5179	
193	307372714	0.55	0.75	5026.303	5037.09	4662.603	5332	
194	488671386	0.65	0.5	4546.301	4559.491	4125.225	4674	
195	898350739	0.85	0.25	5214.907	5229.353	4681.095	5332	
196	248948848	0.9	0	5151.123	5094.861	4476.984	5089	
197	277498067	0.5	1	5068.689	5083.955	4679.987	5329	
198	49685363	0.35	0	5313.31	5311.851	4679.874	5332	
199	328459441	0.8	1	5321.07	5264.426	4605.624	5232	
200	545644363	0.7	1	5374.95	5327.846	4668.057	5302	
201	688174451	0.65	0	5384.404	5350.571	4696.022	5332	
202	545470103	0.75	0.75	5380.471	5343.918	4693.426	5332	
203	24887373	0.45	0.75	4983.975	4995.762	4676.223	5332	
204	923241660	0.3	0.75	5220.743	5235.075	4680.53	5332	
205	653269616	0.15	1	5255.743	5266.621	4677.36	5332	
206	904697002	0.35	1	4836.617	4850.233	4675.707	5332	
207	783625313	0.3	0.75	5125.266	5142.064	4662.069	5321	
208	687703267	0.9	0.75	5263.817	5240.068	4589.762	5201	
209	693289877	0.4	0.5	5139.13	5155.909	4668.673	5332	
210	241103761	0.35	1	5372.971	5334.365	4675.262	5319	
211	31243161	0.5	0.75	5087.467	5104.697	4670.625	5332	
212	163008048	0.55	1	4745.723	4759.165	4583.421	5232	
213	753850050	0.4	0.75	5120.49	5136.333	4673.164	5332	
214	695134334	0.3	1	5253.906	5265.501	4676.771	5332	
215	753618064	0.7	0.25	5412.038	5355.939	4696.521	5332	
216	253151113	0.55	0.75	5132.044	5146.602	4620.785	5260	
217	541777359	0.3	0.75	5224.845	5240.296	4673.844	5332	
218	313087409	0.55	0.75	5360.07	5333.955	4680.9	5332	
219	377467106	0.25	1	5251.704	5263.5	4678.22	5332	
